product_id,title,vendor,price,compare_at_price,tags,sizes_available,stock_per_size,is_sale,is_clearance,bestseller_score
P0001,Classic A-Line Day Dress,Velvet Rose,137,180,"casual, day, fitted, sleeve","2,4,6,8,10,12","{""2"": 3, ""4"": 5, ""6"": 8, ""8"": 6, ""10"": 4, ""12"": 2}",True,False,72
P0002,Silk Wrap Evening Gown,Nocturne,420,420,"evening, formal, elegant, wrap","4,6,8,10,12,14","{"" 4"": 2, ""6"": 4, ""8"": 3, ""10"": 5, ""12"": 1, ""14"": 0}",False,False,91
P0003,Modest Lace Maxi Dress,Aurelia Couture,258,310,"modest, evening, lace, long-sleeve, maxi","2,4,6,8,10,12,14","{ ""2"": 1, ""4"": 3, ""6"": 5, ""8"": 7, ""10"": 4, ""12"": 2, ""14"": 1}",True,False,88
P0004,Floral Print Sundress,Blossom & Bloom,95,95,"casual, day, floral, sleeveless","4,6,8,10,12","{ ""4"": 10, ""6"": 8, ""8"": 12, ""10"": 6, ""12"": 3}",False,False,65
P0005,Tailored Blazer Dress,Metropolitan,215,215,"work, professional, sleeve, tailored, fitted","2,4,6,8,10,12,14","{ ""2"": 2, ""4"": 4, ""6"": 6, ""8"": 5, ""10"": 3, ""12"": 2, ""14"": 1}",False,False,78
P0006,Sequin Cocktail Dress,Nocturne,340,340,"evening, cocktail, sequin, fitted, sleeveless","4,6,8,10,12","{ ""4"": 1, ""6"": 3, ""8"": 2, ""10"": 4, ""12"": 0}",False,False,85
P0007,Cotton Shirt Dress,Everyday Luxe,89,120,"casual, day, cotton, sleeve, relaxed","4,6,8,10,12,14,16","{ ""4"": 8, ""6"": 10, ""8"": 15, ""10"": 12, ""12"": 7, ""14"": 5, ""16"": 3}",True,False,60
P0008,Velvet Ballgown,Aurelia Couture,309,450,"evening, formal, ballgown, modest, long-sleeve","4,6,8,10,12,14,16","{ ""4"": 1, ""6"": 2, ""8"": 3, ""10"": 2, ""12"": 1, ""14"": 1, ""16"": 0}",True,False,92
P0009,Linen Shift Dress,Blossom & Bloom,78,78,"casual, day, linen, sleeveless, relaxed","6,8,10,12,14","{ ""6"": 6, ""8"": 9, ""10"": 7, ""12"": 4, ""14"": 2}",False,False,55
P0010,Crepe Midi Dress,Metropolitan,185,185,"work, professional, midi, sleeve, crepe","2,4,6,8,10,12","{ ""2"": 3, ""4"": 5, ""6"": 7, ""8"": 4, ""10"": 3, ""12"": 1}",False,False,74
P0011,Beaded Gala Gown,Nocturne,475,475,"evening, formal, beaded, gala, sleeveless","4,6,8,10,12","{ ""4"": 0, ""6"": 1, ""8"": 2, ""10"": 1, ""12"": 0}",False,False,95
P0012,Denim Wrap Dress,Everyday Luxe,76,110,"casual, day, denim, wrap, sleeve","2,4,6,8,10,12,14","{ ""2"": 3, ""4"": 5, ""6"": 8, ""8"": 10, ""10"": 6, ""12"": 4, ""14"": 2}",True,False,58
P0013,Chiffon Modest Gown,Aurelia Couture,284,350,"modest, evening, chiffon, long-sleeve, flowing","4,6,8,10,12,14,16","{ ""4"": 2, ""6"": 3, ""8"": 4, ""10"": 3, ""12"": 2, ""14"": 1, ""16"": 1}",True,False,86
P0014,Structured Peplum Dress,Metropolitan,414,414,"work, professional, peplum, fitted, sleeve","2,4,6,8,10,12","{ ""2"": 1, ""4"": 3, ""6"": 4, ""8"": 2, ""10"": 3, ""12"": 1}",False,False,70
P0015,Embroidered Tulle Gown,Nocturne,298,380,"evening, formal, embroidered, tulle, modest","6,8,10,12,14","{ ""6"": 2, ""8"": 3, ""10"": 4, ""12"": 2, ""14"": 1}",True,False,90
P0016,Jersey Knit Day Dress,Everyday Luxe,65,65,"casual, day, jersey, relaxed, sleeve","6,8,10,12,14,16","{ ""6"": 12, ""8"": 15, ""10"": 10, ""12"": 8, ""14"": 5, ""16"": 3}",False,False,50
P0017,Ponte Work Dress,Metropolitan,109,145,"work, professional, ponte, fitted, sleeve","4,6,8,10,12,14,16","{ ""4"": 4, ""6"": 6, ""8"": 8, ""10"": 5, ""12"": 3, ""14"": 2, ""16"": 1}",True,False,68
P0018,Silk Charmeuse Gown,Aurelia Couture,376,376,"evening, formal, silk, elegant, sleeveless","4,6,8,10,12,14,16","{ ""4"": 1, ""6"": 2, ""8"": 1, ""10"": 2, ""12"": 1, ""14"": 0, ""16"": 1}",False,False,89
P0019,Printed Maxi Dress,Blossom & Bloom,131,175,"casual, day, printed, maxi, sleeveless","6,8,10,12,14,16","{ ""6"": 7, ""8"": 9, ""10"": 5, ""12"": 4, ""14"": 3, ""16"": 2}",True,False,62
P0020,One-Shoulder Gala Dress,Nocturne,419,419,"evening, formal, one-shoulder, fitted, gala","4,6,8,10,12,14,16","{ ""4"": 0, ""6"": 1, ""8"": 2, ""10"": 1, ""12"": 1, ""14"": 0, ""16"": 1}",False,False,93
P0021,Modest Crepe Evening Dress,Aurelia Couture,277,330,"modest, evening, crepe, long-sleeve, midi","4,6,8,10,12","{ ""4"": 3, ""6"": 4, ""8"": 5, ""10"": 3, ""12"": 2}",True,False,84
P0022,Jacquard Cocktail Dress,Nocturne,437,437,"evening, cocktail, jacquard, fitted, sleeve","6,8,10,12,14,16","{ ""6"": 1, ""8"": 2, ""10"": 3, ""12"": 1, ""14"": 0, ""16"": 1}",False,False,87
P0023,Wool Blend Sheath Dress,Metropolitan,259,259,"work, professional, wool, sheath, sleeve","4,6,8,10,12","{ ""4"": 2, ""6"": 4, ""8"": 3, ""10"": 2, ""12"": 1}",False,False,73
P0024,Embellished A-Line Gown,Velvet Rose,275,340,"evening, formal, embellished, a-line, modest","4,6,8,10,12,14,16","{ ""4"": 2, ""6"": 3, ""8"": 4, ""10"": 3, ""12"": 2, ""14"": 1, ""16"": 1}",True,False,82
P0025,Ruffle Hem Midi Dress,Blossom & Bloom,266,266,"casual, day, ruffle, midi, sleeveless","6,8,10,12,14","{ ""6"": 5, ""8"": 7, ""10"": 4, ""12"": 3, ""14"": 1}",False,False,64
P0026,Duchess Satin Ballgown,Aurelia Couture,390,390,"evening, formal, satin, ballgown, sleeveless","6,8,10,12,14","{ ""6"": 1, ""8"": 1, ""10"": 2, ""12"": 1, ""14"": 1}",False,False,94
P0027,Tie-Waist Casual Dress,Everyday Luxe,72,72,"casual, day, tie-waist, relaxed, sleeve","6,8,10,12,14,16","{ ""6"": 10, ""8"": 12, ""10"": 8, ""12"": 6, ""14"": 4, ""16"": 2}",False,False,52
P0028,Tweed Office Dress,Metropolitan,153,200,"work, professional, tweed, fitted, sleeve","4,6,8,10,12","{ ""4"": 3, ""6"": 5, ""8"": 4, ""10"": 3, ""12"": 2}",True,False,71
P0029,Crystal Embellished Gown,Nocturne,305,305,"evening, formal, crystal, fitted, sleeveless","2,4,6,8,10,12","{ ""2"": 1, ""4"": 0, ""6"": 1, ""8"": 1, ""10"": 2, ""12"": 0}",False,False,88
P0030,Modest Pleated Maxi,Velvet Rose,232,290,"modest, evening, pleated, maxi, long-sleeve","2,4,6,8,10,12","{ ""2"": 2, ""4"": 4, ""6"": 5, ""8"": 6, ""10"": 3, ""12"": 2}",True,False,79
P0031,Draped Jersey Gown,Nocturne,311,311,"evening, formal, draped, jersey, sleeve","4,6,8,10,12","{ ""4"": 2, ""6"": 3, ""8"": 4, ""10"": 2, ""12"": 1}",False,False,83
P0032,Pinstripe Shift Dress,Metropolitan,305,305,"work, professional, pinstripe, shift, sleeve","6,8,10,12,14","{ ""6"": 3, ""8"": 4, ""10"": 5, ""12"": 2, ""14"": 1}",False,False,69
P0033,Tulle Overlay Gown,Velvet Rose,266,330,"evening, formal, tulle, overlay, modest","6,8,10,12,14,16","{ ""6"": 2, ""8"": 3, ""10"": 4, ""12"": 2, ""14"": 1, ""16"": 1}",True,False,81
P0034,Button-Front Shirt Dress,Everyday Luxe,239,239,"casual, day, button-front, cotton, sleeve","6,8,10,12,14","{ ""6"": 6, ""8"": 8, ""10"": 5, ""12"": 4, ""14"": 2}",False,False,57
P0035,Clearance Print Sundress,Blossom & Bloom,78,160,"casual, day, clearance, printed, sleeveless","4,6,8,10,12,14,16","{ ""4"": 2, ""6"": 3, ""8"": 1, ""10"": 2, ""12"": 1, ""14"": 0, ""16"": 1}",False,True,40
P0036,Tiered Ruffle Gown,Aurelia Couture,355,355,"evening, formal, tiered, ruffle, sleeveless","6,8,10,12","{ ""6"": 1, ""8"": 2, ""10"": 1, ""12"": 1}",False,False,86
